loan_amnt,title,dti,emp_length,approved
20000,Debt consolidation,0.2683,< 1 year,No
10000,Debt consolidation,0.0343,< 1 year,No
1300,Credit card refinancing,0.504,< 1 year,No
5000,Vacation,0.0032,< 1 year,No
40000,Home improvement,1,< 1 year,No
2500,Debt consolidation,0.0613,< 1 year,No
1000,Other,0.71,1 year,No
1000,Other,0.3746,< 1 year,No
20000,Home buying,0.1268,< 1 year,No
6000,Other,0.0788,< 1 year,No
1000,Credit card refinancing,0.3887,< 1 year,No
2000,Business,0.2427,< 1 year,No
10000,Major purchase,0.1902,< 1 year,No
10500,Debt consolidation,0.2506,< 1 year,No
10000,Debt consolidation,0.295,< 1 year,No
5000,Debt consolidation,0.0404,< 1 year,No
6000,Debt consolidation,0.014,< 1 year,No
5000,Other,1,< 1 year,No
8000,Credit card refinancing,0.0582,< 1 year,No
6575,Car financing,1,< 1 year,No
1000,Medical expenses,0.0843,< 1 year,No
20000,Other,0.5508,< 1 year,No
5000,Home buying,0.0761,< 1 year,No
18000,Debt consolidation,0.217,< 1 year,No
1000,Other,0.59,< 1 year,No
20000,Debt consolidation,0.4168,< 1 year,No
1000,Other,1,< 1 year,No
1000,Other,0.4544,< 1 year,No
6000,Debt consolidation,0.1636,< 1 year,No
6000,Debt consolidation,0.3189,< 1 year,No
2500,Debt consolidation,0.5381,2 years,No
1000,Other,0.0953,< 1 year,No
5000,Other,0.107,< 1 year,No
35000,Home buying,0.2522,< 1 year,No
5000,Debt consolidation,0.2654,< 1 year,No
10000,Debt consolidation,0.5373,< 1 year,No
1500,Medical expenses,0.0028,< 1 year,No
10000,Debt consolidation,0.3449,< 1 year,No
20000,Debt consolidation,0.5968,< 1 year,No
35000,Home buying,0.0568,< 1 year,No
2000,Home improvement,0.0309,< 1 year,No
2600,Medical expenses,0.2778,< 1 year,No
16000,Debt consolidation,0.359,9+ years,No
2000,Debt consolidation,0.0082,< 1 year,No
1000,Other,0.0011,< 1 year,No
3000,Debt consolidation,0.5644,< 1 year,No
6500,Debt consolidation,0.0641,< 1 year,No
1000,Major purchase,0.1059,< 1 year,No
3500,Debt consolidation,0.1783,< 1 year,No
12000,Debt consolidation,0.4393,< 1 year,No
15000,Debt consolidation,0.5048,< 1 year,No
30000,Debt consolidation,0.2648,< 1 year,No
10000,Home improvement,1,< 1 year,No
10000,Vacation,1,< 1 year,No
28000,Credit card refinancing,0.0022,< 1 year,No
10000,Other,0.25,< 1 year,No
5000,Credit card refinancing,23.84,< 1 year,No
30000,Debt consolidation,0.7209,< 1 year,No
10000,Debt consolidation,0.1842,< 1 year,No
10000,Other,0.1303,< 1 year,No
28000,Credit card refinancing,0.322,< 1 year,No
1000,Other,0.1924,< 1 year,No
35000,Debt consolidation,0.2026,< 1 year,No
4000,Moving and relocation,1,< 1 year,No
1000,Other,0.3526,< 1 year,No
5000,Moving and relocation,0.0926,< 1 year,No
1000,Moving and relocation,1,< 1 year,No
2000,Medical expenses,1,< 1 year,No
35000,Credit card refinancing,0.1938,< 1 year,No
15000,Debt consolidation,0.2254,< 1 year,No
10000,Credit card refinancing,0.0921,< 1 year,No
5000,Other,0.258,< 1 year,No
35000,Debt consolidation,0.2211,< 1 year,No
25000,Debt consolidation,0.2712,< 1 year,No
2000,Medical expenses,3.6557,< 1 year,No
32000,Debt consolidation,0.3451,< 1 year,No
1800,Debt consolidation,0.0401,< 1 year,No
20000,Debt consolidation,0.5131,< 1 year,No
40000,Debt consolidation,0.5216,< 1 year,No
35000,Home buying,0.0882,< 1 year,No
10000,Credit card refinancing,0.1472,< 1 year,No
35000,Home buying,0.0107,9+ years,No
10000,Debt consolidation,0.0755,< 1 year,No
10000,Credit card refinancing,0.474,< 1 year,No
20000,Credit card refinancing,0.5524,< 1 year,No
18500,Credit card refinancing,0.3211,< 1 year,No
2500,Debt consolidation,0.1609,< 1 year,No
25000,Debt consolidation,0.2092,< 1 year,No
7000,Debt consolidation,0.1898,< 1 year,No
20000,Debt consolidation,0.1243,< 1 year,No
5000,Other,0.2267,< 1 year,No
12000,Debt consolidation,0.3035,< 1 year,No
2000,Car financing,0.1376,< 1 year,No
2000,Debt consolidation,0.15,< 1 year,No
1000,Moving and relocation,1,< 1 year,No
10000,Debt consolidation,0.2055,< 1 year,No
3000,Major purchase,0.4316,< 1 year,No
20000,Debt consolidation,0.7977,< 1 year,No
15000,Car financing,0.0549,< 1 year,No
30000,Debt consolidation,0.3807,< 1 year,No
5000,Other,0.4783,< 1 year,No
1000,Debt consolidation,0.0156,< 1 year,No
5000,Debt consolidation,0.1687,< 1 year,No
26000,Credit card refinancing,0.2007,< 1 year,No
30000,Debt consolidation,0.0051,< 1 year,No
40000,Car financing,0.0361,< 1 year,No
5000,Debt consolidation,0.2901,< 1 year,No
10000,Debt consolidation,0.4913,< 1 year,No
20000,Other,0.0566,< 1 year,No
10000,Debt consolidation,0.4105,< 1 year,No
10000,Moving and relocation,0.3196,< 1 year,No
1000,Other,0.1588,< 1 year,No
20000,Debt consolidation,0.6405,< 1 year,No
15000,Debt consolidation,2.0078,< 1 year,No
10000,Other,0.3515,< 1 year,No
10000,Credit card refinancing,0.176,< 1 year,No
1000,Other,0.019,< 1 year,No
2000,Debt consolidation,0.3695,< 1 year,No
1000,Other,0.1764,< 1 year,No
15000,Debt consolidation,0.2488,< 1 year,No
15000,Credit card refinancing,0.2554,< 1 year,No
3000,Other,0.0579,< 1 year,No
15000,Debt consolidation,0.0848,< 1 year,No
2000,Other,0.3942,< 1 year,No
20000,Business,0.0799,< 1 year,No
5000,Debt consolidation,0.1153,< 1 year,No
6000,Home buying,0.0775,< 1 year,No
32075,Car financing,1,1 year,No
16000,Debt consolidation,0.1994,< 1 year,No
10000,Debt consolidation,0.4927,< 1 year,No
1500,Other,0.2174,< 1 year,No
10000,Credit card refinancing,0.1309,< 1 year,No
10000,Debt consolidation,0.1305,< 1 year,No
30000,Debt consolidation,0.2796,< 1 year,No
4000,Debt consolidation,0.0326,< 1 year,No
35000,Other,0.3961,< 1 year,No
7000,Debt consolidation,0.1728,< 1 year,No
19575,Medical expenses,0.0134,< 1 year,No
1000,Debt consolidation,0.208,< 1 year,No
25500,Debt consolidation,1.3197,< 1 year,No
40000,Debt consolidation,0.2391,< 1 year,No
10000,Debt consolidation,0.616,< 1 year,No
10000,Credit card refinancing,0.281,< 1 year,No
1000,Credit card refinancing,0.0231,< 1 year,No
40000,Debt consolidation,0.2203,< 1 year,No
1000,Debt consolidation,0.1918,< 1 year,No
11000,Home improvement,0.1015,< 1 year,No
3000,Credit card refinancing,0.1662,< 1 year,No
2500,Debt consolidation,0.1806,< 1 year,No
23000,Home buying,0.0111,< 1 year,No
5000,Debt consolidation,0.059,< 1 year,No
20000,Debt consolidation,0.2624,< 1 year,No
5000,Other,0.0775,< 1 year,No
10000,Debt consolidation,0.696,< 1 year,No
1000,Debt consolidation,1,< 1 year,No
20000,Other,0.0522,< 1 year,No
18600,Car financing,1,< 1 year,No
10000,Debt consolidation,0.1532,< 1 year,No
5000,Moving and relocation,0.352,< 1 year,No
40000,Debt consolidation,0.1752,< 1 year,No
7000,Debt consolidation,0.3211,< 1 year,No
6000,Credit card refinancing,0.3042,< 1 year,No
4000,Debt consolidation,0.0399,< 1 year,No
20000,Debt consolidation,0.2491,< 1 year,No
15000,Home improvement,0.006,< 1 year,No
40000,Debt consolidation,0.1358,< 1 year,No
10000,Debt consolidation,0.1797,< 1 year,No
35000,Debt consolidation,0.2994,< 1 year,No
20000,Credit card refinancing,0.5032,< 1 year,No
9000,Debt consolidation,0.1782,< 1 year,No
5000,Other,0.2726,< 1 year,No
1000,Debt consolidation,0.0198,< 1 year,No
20000,Business,0.4013,< 1 year,No
15000,Debt consolidation,132.75,< 1 year,No
5000,Other,0.295,< 1 year,No
30000,Debt consolidation,0.1397,< 1 year,No
1000,Debt consolidation,0.2116,< 1 year,No
15000,Debt consolidation,0.1643,< 1 year,No
30000,Debt consolidation,0.2233,< 1 year,No
15000,Debt consolidation,0.272,< 1 year,No
4000,Debt consolidation,0.1608,< 1 year,No
20000,Major purchase,0.1462,< 1 year,No
3000,Debt consolidation,0.74,< 1 year,No
20000,Other,1.3014,< 1 year,No
10000,Debt consolidation,0.1784,< 1 year,No
1800,Moving and relocation,0.0579,< 1 year,No
5000,Debt consolidation,0.1314,< 1 year,No
40000,Debt consolidation,0.1151,< 1 year,No
2000,Debt consolidation,0.0089,< 1 year,No
5000,Credit card refinancing,0.0778,< 1 year,No
10000,Debt consolidation,0.1186,< 1 year,No
6000,Debt consolidation,0.3384,6 years,No
23000,Credit card refinancing,0.2709,< 1 year,No
10000,Debt consolidation,0.1994,< 1 year,No
35000,Debt consolidation,1,< 1 year,No
10000,Debt consolidation,0.2346,< 1 year,No
1200,Other,0.7357,< 1 year,No
10000,Credit card refinancing,0.1128,< 1 year,No
3000,Debt consolidation,0.4111,< 1 year,No
40000,Other,1,< 1 year,No
2000,Moving and relocation,0.1995,< 1 year,No
11000,Other,0.0969,< 1 year,No
11000,Debt consolidation,0.086,< 1 year,No
15000,Other,0.7869,< 1 year,No
3500,Debt consolidation,0.2117,< 1 year,No
20000,Credit card refinancing,0.3904,< 1 year,No
10000,Debt consolidation,0.2247,< 1 year,No
3000,Credit card refinancing,1,< 1 year,No
3500,Debt consolidation,1,< 1 year,No
20000,Credit card refinancing,0.144,< 1 year,No
15000,Other,0.1954,< 1 year,No
15525,Car financing,1,8 years,No
25000,Debt consolidation,0.2416,< 1 year,No
5000,Debt consolidation,0.0825,< 1 year,No
18000,Debt consolidation,0.1601,< 1 year,No
5000,Other,0.501,< 1 year,No
1000,Debt consolidation,0.0333,< 1 year,No
10000,Debt consolidation,1,< 1 year,No
40000,Car financing,0.0333,< 1 year,No
10000,Home buying,0.507,< 1 year,No
5500,Credit card refinancing,0.3024,< 1 year,No
22000,Debt consolidation,1,< 1 year,No
16500,Credit card refinancing,0.4109,< 1 year,No
20000,Debt consolidation,0.0888,< 1 year,No
20000,Other,0.8121,< 1 year,No
15000,Major purchase,0.0901,< 1 year,No
1000,Moving and relocation,0.876,< 1 year,No
12000,Debt consolidation,0.1266,< 1 year,No
10000,Home buying,0.1006,< 1 year,No
3000,Other,0.005,< 1 year,No
5000,Car financing,0.3136,2 years,No
35000,Other,1,< 1 year,No
5000,Other,0.1311,< 1 year,No
2500,Major purchase,0.2084,< 1 year,No
5000,Debt consolidation,1,< 1 year,No
5500,Other,0.072,< 1 year,No
40000,Debt consolidation,0.1155,< 1 year,No
10000,Other,0.8002,< 1 year,No
15000,Debt consolidation,0.0251,< 1 year,No
11500,Other,1,3 years,No
3000,Debt consolidation,0.0945,< 1 year,No
10000,Debt consolidation,3.4,< 1 year,No
6000,Debt consolidation,0.3569,< 1 year,No
20000,Debt consolidation,0.3103,< 1 year,No
30000,Credit card refinancing,0.4949,< 1 year,No
30000,Debt consolidation,0.5484,< 1 year,No
1500,Other,0.1992,< 1 year,No
15000,Credit card refinancing,0.2129,< 1 year,No
15000,Credit card refinancing,0.192,< 1 year,No
5000,Other,0.1392,< 1 year,No
1500,Credit card refinancing,0.0273,< 1 year,No
5000,Car financing,0.1567,< 1 year,No
5000,Debt consolidation,0.0565,< 1 year,No
10000,Medical expenses,0.2497,< 1 year,No
10000,Home improvement,0.3893,< 1 year,No
6000,Home buying,0.066,< 1 year,No
10000,Debt consolidation,0.0344,< 1 year,No
5000,Credit card refinancing,0.1645,< 1 year,No
7000,Other,0.4904,< 1 year,No
10000,Debt consolidation,0.1778,< 1 year,No
40000,Credit card refinancing,0.6677,< 1 year,No
10000,Debt consolidation,0.1808,< 1 year,No
40000,Home buying,0.1451,< 1 year,No
10000,Debt consolidation,0.4228,< 1 year,No
5500,Home improvement,0.0466,< 1 year,No
3000,Debt consolidation,1,< 1 year,No
10000,Medical expenses,0.1284,< 1 year,No
16000,Credit card refinancing,0.2529,< 1 year,No
3000,Debt consolidation,0.3088,< 1 year,No
10000,Car financing,0.0092,< 1 year,No
3000,Other,0.1602,< 1 year,No
15000,Debt consolidation,0.3832,< 1 year,No
10000,Debt consolidation,0.2018,< 1 year,No
6500,Home improvement,0.2876,< 1 year,No
35000,Credit card refinancing,0.2812,< 1 year,No
10825,Credit card refinancing,0.6148,< 1 year,No
20000,Other,0.0993,< 1 year,No
6000,Debt consolidation,0.4007,< 1 year,No
3000,Moving and relocation,0.0666,< 1 year,No
35000,Other,0.012,< 1 year,No
10000,Debt consolidation,0.3838,< 1 year,No
20000,Debt consolidation,0.4348,< 1 year,No
3500,Other,0.1267,< 1 year,No
9775,Debt consolidation,0.1315,< 1 year,No
40000,Debt consolidation,0.1662,< 1 year,No
40000,Debt consolidation,0.3221,< 1 year,No
30000,Home improvement,0.1942,< 1 year,No
16500,Debt consolidation,0.343,< 1 year,No
2500,Major purchase,0.2563,< 1 year,No
5000,Car financing,0.1112,< 1 year,No
1000,Medical expenses,0.4629,< 1 year,No
6000,Debt consolidation,0.4633,< 1 year,No
11000,Other,0.1135,< 1 year,No
36000,Debt consolidation,0.4719,< 1 year,No
4000,Debt consolidation,0.1322,< 1 year,No
5000,Credit card refinancing,0.0315,< 1 year,No
30000,Debt consolidation,0.3922,< 1 year,No
35000,Debt consolidation,0.5152,< 1 year,No
25000,Debt consolidation,0.0807,< 1 year,No
10000,Home buying,0.2384,< 1 year,No
5000,Debt consolidation,0.5041,< 1 year,No
10000,Debt consolidation,0.1292,< 1 year,No
7500,Major purchase,3.6156,< 1 year,No
25000,Other,0.392,< 1 year,No
25000,Debt consolidation,0.2708,< 1 year,No
4000,Credit card refinancing,0.3008,< 1 year,No
4000,Debt consolidation,0.3164,< 1 year,No
2000,Debt consolidation,0.1613,< 1 year,No
15000,Debt consolidation,0.2113,< 1 year,No
8000,Debt consolidation,0.6153,< 1 year,No
9500,Car financing,0.0224,< 1 year,No
10000,Credit card refinancing,0.0775,< 1 year,No
35000,Debt consolidation,0.2777,< 1 year,No
25000,Debt consolidation,0.4613,< 1 year,No
7000,Credit card refinancing,0.0685,< 1 year,No
40000,Credit card refinancing,0.1384,2 years,No
4000,Other,0.104,< 1 year,No
5000,Credit card refinancing,0.319,< 1 year,No
10000,Debt consolidation,0.3471,< 1 year,No
5000,Credit card refinancing,0.0777,< 1 year,No
15375,Car financing,1,< 1 year,No
2000,Other,0.0352,< 1 year,No
3000,Moving and relocation,0.4509,< 1 year,No
13625,Car financing,1,2 years,No
10000,Credit card refinancing,0.1289,< 1 year,No
7000,Debt consolidation,0.106,< 1 year,No
3000,Debt consolidation,0.0454,< 1 year,No
5000,Debt consolidation,0.4652,< 1 year,No
3000,Other,0.4287,< 1 year,No
17000,Debt consolidation,0.4713,< 1 year,No
4500,Debt consolidation,0.2761,< 1 year,No
10000,Debt consolidation,0.323,< 1 year,No
40000,Credit card refinancing,0.155,< 1 year,No
1500,Other,0.1166,< 1 year,No
5000,Major purchase,0.1168,< 1 year,No
10000,Credit card refinancing,0.2757,< 1 year,No
20000,Debt consolidation,0.795,< 1 year,No
3000,Debt consolidation,0.008,< 1 year,No
10000,Other,0.0342,< 1 year,No
8000,Credit card refinancing,0.2334,< 1 year,No
20000,Debt consolidation,0.1893,< 1 year,No
35000,Credit card refinancing,0.0278,< 1 year,No
10000,Debt consolidation,0.3854,< 1 year,No
11000,Debt consolidation,0.4264,< 1 year,No
2500,Car financing,0.0632,< 1 year,No
5000,Other,0.1891,< 1 year,No
2000,Credit card refinancing,0.065,< 1 year,No
30000,Credit card refinancing,0.1069,< 1 year,No
20000,Home buying,0.0745,< 1 year,No
24000,Other,0.2771,< 1 year,No
10000,Debt consolidation,1,< 1 year,No
3050,Debt consolidation,0.1348,< 1 year,No
5000,Debt consolidation,0.0238,< 1 year,No
5000,Debt consolidation,0.1522,< 1 year,No
8500,Debt consolidation,0.1186,< 1 year,No
27300,Car financing,1,< 1 year,No
20000,Debt consolidation,0.507,< 1 year,No
10000,Debt consolidation,0.1768,< 1 year,No
30000,Debt consolidation,1.4088,< 1 year,No
12500,Debt consolidation,1,< 1 year,No
5000,Car financing,0.0198,< 1 year,No
3000,Moving and relocation,0.3212,< 1 year,No
15000,Debt consolidation,0.0989,< 1 year,No
5000,Debt consolidation,0.0877,< 1 year,No
35000,Debt consolidation,0.5813,< 1 year,No
1000,Debt consolidation,0.1229,< 1 year,No
40000,Home buying,0.0514,< 1 year,No
2000,Credit card refinancing,0.007,< 1 year,No
3000,Credit card refinancing,0.3747,< 1 year,No
7000,Debt consolidation,0.3843,< 1 year,No
20000,Medical expenses,0.2383,< 1 year,No
25000,Car financing,0.0148,< 1 year,No
5000,Debt consolidation,0.137,< 1 year,No
5000,Debt consolidation,0.2588,1 year,No
18225,Medical expenses,0.1358,< 1 year,No
6000,Credit card refinancing,0.8306,< 1 year,No
15000,Credit card refinancing,0.3134,< 1 year,No
30000,Debt consolidation,0.1978,< 1 year,No
15000,Credit card refinancing,0.2774,< 1 year,No
20000,Other,1,< 1 year,No
5000,Other,0.0295,< 1 year,No
3000,Debt consolidation,0.3218,< 1 year,No
5000,Debt consolidation,0.0102,< 1 year,No
5000,Other,0.0705,< 1 year,No
10000,Credit card refinancing,0.3138,< 1 year,No
25000,Debt consolidation,0.4905,< 1 year,No
3000,Major purchase,0.4983,< 1 year,No
15000,Debt consolidation,0.1046,< 1 year,No
12000,Debt consolidation,0.4052,< 1 year,No
1000,Debt consolidation,0.3613,< 1 year,No
4000,Home buying,0.2334,3 years,No
23000,Credit card refinancing,0.8035,< 1 year,No
30000,Debt consolidation,0.0915,< 1 year,No
10000,Debt consolidation,0.15,< 1 year,No
20000,Debt consolidation,0.0409,< 1 year,No
1500,Other,1.0067,8 years,No
16000,Debt consolidation,0.1889,< 1 year,No
1500,Debt consolidation,0.3113,< 1 year,No
10000,Debt consolidation,0.3389,< 1 year,No
35000,Debt consolidation,0.4048,< 1 year,No
35000,Debt consolidation,0.2699,< 1 year,No
5000,Other,0.2635,< 1 year,No
40000,Credit card refinancing,0.2324,< 1 year,No
10000,Debt consolidation,0.148,< 1 year,No
4000,Debt consolidation,0.0231,< 1 year,No
25000,Debt consolidation,0.1499,< 1 year,No
15000,Debt consolidation,0.123,< 1 year,No
20000,Credit card refinancing,0.2919,< 1 year,No
5000,Moving and relocation,0.053,< 1 year,No
26000,Debt consolidation,0.3116,< 1 year,No
10000,Credit card refinancing,0.3154,< 1 year,No
10000,Home buying,0.1506,< 1 year,No
15000,Debt consolidation,0.2253,< 1 year,No
30000,Debt consolidation,0.5322,< 1 year,No
3000,Debt consolidation,0.2221,< 1 year,No
40000,Debt consolidation,0.2203,< 1 year,No
10000,Debt consolidation,0.1862,< 1 year,No
2000,Debt consolidation,0.0016,< 1 year,No
5000,Other,0.1966,< 1 year,No
2000,Other,1.0265,1 year,No
1500,Other,0.06,< 1 year,No
1000,Other,0.0118,< 1 year,No
2500,Other,0.1392,1 year,No
1500,Debt consolidation,0.0635,< 1 year,No
15000,Credit card refinancing,0.4136,< 1 year,No
35000,Credit card refinancing,0.3551,< 1 year,No
6000,Other,0.0713,9+ years,No
1000,Debt consolidation,0.1338,< 1 year,No
3000,Debt consolidation,0.0045,< 1 year,No
5000,Home improvement,0.2972,< 1 year,No
40000,Debt consolidation,0.3261,< 1 year,No
5000,Debt consolidation,0.0319,< 1 year,No
5000,Debt consolidation,0.1755,< 1 year,No
23000,Debt consolidation,0.1563,< 1 year,No
10000,Credit card refinancing,0.2725,< 1 year,No
10000,Other,0.1663,< 1 year,No
15000,Debt consolidation,2.6777,< 1 year,No
15000,Debt consolidation,0.1557,< 1 year,No
5000,Medical expenses,0.0759,< 1 year,No
3500,Debt consolidation,0.258,< 1 year,No
17500,Debt consolidation,0.3627,< 1 year,No
10000,Major purchase,1,< 1 year,No
20000,Home improvement,0.1509,< 1 year,No
12000,Medical expenses,0.3276,< 1 year,No
2000,Debt consolidation,0.2464,< 1 year,No
10000,Moving and relocation,0.276,< 1 year,No
5000,Debt consolidation,0.3231,< 1 year,No
5000,Other,0.569,< 1 year,No
14000,Debt consolidation,0.1103,< 1 year,No
10000,Debt consolidation,0.1898,< 1 year,No
10000,Major purchase,0.0716,< 1 year,No
40000,Other,0.3728,< 1 year,No
2000,Debt consolidation,0.2258,< 1 year,No
2000,Moving and relocation,0.1885,< 1 year,No
15000,Debt consolidation,0.4658,< 1 year,No
5000,Credit card refinancing,0.1626,3 years,No
15000,Other,0.0876,< 1 year,No
10000,Debt consolidation,0.3447,< 1 year,No
5000,Debt consolidation,0.0537,< 1 year,No
10000,Medical expenses,3.4,< 1 year,No
5000,Debt consolidation,0.1997,< 1 year,No
10000,Credit card refinancing,0.1363,< 1 year,No
8000,Debt consolidation,0.1304,< 1 year,No
30000,Debt consolidation,0.2706,< 1 year,No
20000,Debt consolidation,1,< 1 year,No
21000,Major purchase,0.0411,< 1 year,No
40000,Credit card refinancing,0.6284,< 1 year,No
4000,Debt consolidation,0.2821,< 1 year,No
5000,Debt consolidation,1.2101,< 1 year,No
3500,Credit card refinancing,0.0535,< 1 year,No
10000,Major purchase,0.4625,< 1 year,No
15000,Other,0.7044,< 1 year,No
6000,Debt consolidation,0.2298,< 1 year,No
10000,Major purchase,0.1491,< 1 year,No
1200,Major purchase,0.0912,< 1 year,No
25000,Credit card refinancing,0.4352,< 1 year,No
15000,Credit card refinancing,0.0998,< 1 year,No
20000,Home buying,0.0234,< 1 year,No
2300,Other,0.132,< 1 year,No
1000,Debt consolidation,0.0333,< 1 year,No
15000,Debt consolidation,0.646,< 1 year,No
6000,Other,0.4846,< 1 year,No
10000,Other,0.0835,< 1 year,No
20000,Debt consolidation,99.99,< 1 year,No
1000,Other,1,< 1 year,No
25000,Debt consolidation,0.5738,< 1 year,No
5000,Debt consolidation,0.0806,< 1 year,No
28000,Other,0.1339,< 1 year,No
2000,Debt consolidation,0.0378,< 1 year,No
40000,Debt consolidation,0.2475,< 1 year,No
1000,Other,0.1075,< 1 year,No
20000,Debt consolidation,0.3087,< 1 year,No
20000,Debt consolidation,0.4653,< 1 year,No
35000,Debt consolidation,0.0179,< 1 year,No
10000,Debt consolidation,0.4115,< 1 year,No
35000,Debt consolidation,0.2654,< 1 year,No
5000,Home buying,0.098,< 1 year,No
22500,Other,5.3342,< 1 year,No
35000,Credit card refinancing,0.3305,< 1 year,No
40000,Debt consolidation,0.241,< 1 year,No
15500,Debt consolidation,0.1615,< 1 year,No
1500,Moving and relocation,1,< 1 year,No
17000,Debt consolidation,0.504,< 1 year,No
12000,Other,0.1285,< 1 year,No
3000,Vacation,0.1072,< 1 year,No
35000,Debt consolidation,0.4437,< 1 year,No
20000,Debt consolidation,0.0346,< 1 year,No
5000,Home improvement,0.517,< 1 year,No
15000,Debt consolidation,1,< 1 year,No
7500,Debt consolidation,0.812,< 1 year,No
1000,Other,0.0201,< 1 year,No
10000,Other,0.0703,< 1 year,No
15000,Debt consolidation,0.0793,< 1 year,No
5000,Other,0.04,2 years,No
10000,Other,0.1951,< 1 year,No
5000,Business,0.0103,< 1 year,No
20750,Car financing,1,2 years,No
16000,Credit card refinancing,0.2203,< 1 year,No
10000,Debt consolidation,0.2894,< 1 year,No
10000,Debt consolidation,0.0633,< 1 year,No
3000,Debt consolidation,0.392,< 1 year,No
10000,Debt consolidation,0.2624,< 1 year,No
20000,Debt consolidation,0.136,< 1 year,No
20000,Car financing,0.7834,< 1 year,No
3000,Other,1.5629,< 1 year,No
40000,Debt consolidation,0.2615,< 1 year,No
2000,Debt consolidation,0.1186,< 1 year,No
15000,Debt consolidation,0.2946,< 1 year,No
12000,Debt consolidation,0.4181,< 1 year,No
1000,Other,0.2781,< 1 year,No
1000,Debt consolidation,0.399,< 1 year,No
10000,Debt consolidation,0.1899,< 1 year,No
34400,Car financing,1,< 1 year,No
3500,Debt consolidation,0.0711,< 1 year,No
10000,Debt consolidation,0.5606,< 1 year,No
34000,Debt consolidation,0.2418,< 1 year,No
16000,Credit card refinancing,0.1995,< 1 year,No
8000,Other,0.0285,< 1 year,No
30000,Debt consolidation,1,< 1 year,No
25000,Debt consolidation,0.2036,< 1 year,No
5000,Debt consolidation,0.4038,< 1 year,No
30000,Debt consolidation,0.2351,< 1 year,No
5000,Debt consolidation,0.1066,< 1 year,No
8000,Debt consolidation,0.4021,< 1 year,No
23500,Major purchase,0.1033,< 1 year,No
10000,Credit card refinancing,0.1298,< 1 year,No
40000,Debt consolidation,0.4484,< 1 year,No
8000,Debt consolidation,0.0859,< 1 year,No
15000,Other,0.0538,< 1 year,No
12500,Debt consolidation,0.284,< 1 year,No
5000,Home buying,0.6234,< 1 year,No
34000,Debt consolidation,0.17,< 1 year,No
35000,Debt consolidation,0.1293,< 1 year,No
25000,Debt consolidation,0.258,< 1 year,No
8000,Debt consolidation,0.2027,< 1 year,No
10000,Credit card refinancing,0.0356,< 1 year,No
6000,Debt consolidation,0.2659,< 1 year,No
2000,Debt consolidation,0.4,< 1 year,No
10000,Credit card refinancing,0.1581,< 1 year,No
2500,Other,1.5753,< 1 year,No
35000,Debt consolidation,0.2256,< 1 year,No
6000,Other,0.03,< 1 year,No
1000,Debt consolidation,0.0822,< 1 year,No
3500,Medical expenses,0.0044,< 1 year,No
30000,Debt consolidation,0.1878,< 1 year,No
15000,Debt consolidation,0.3924,< 1 year,No
28400,Car financing,1,< 1 year,No
10000,Debt consolidation,0.1293,< 1 year,No
5000,Debt consolidation,0.0773,< 1 year,No
16000,Debt consolidation,0.2689,< 1 year,No
20000,Debt consolidation,0.1651,< 1 year,No
40000,Debt consolidation,0.468,< 1 year,No
35000,Other,0.6256,5 years,No
25000,Credit card refinancing,0.0116,< 1 year,No
2500,Home improvement,0.0392,< 1 year,No
10000,Credit card refinancing,0.0908,< 1 year,No
12000,Credit card refinancing,0.1233,< 1 year,No
5600,Other,0.245,< 1 year,No
5000,Car financing,0.205,< 1 year,No
12000,Debt consolidation,0.2449,< 1 year,No
22000,Other,0.2086,< 1 year,No
5500,Credit card refinancing,0.1385,< 1 year,No
2000,Medical expenses,1,< 1 year,No
1800,Debt consolidation,0.2211,< 1 year,No
5000,Other,0.1649,< 1 year,No
10000,Credit card refinancing,0.158,< 1 year,No
10875,Car financing,1,< 1 year,No
2500,Credit card refinancing,0.2649,< 1 year,No
15000,Debt consolidation,0.1747,< 1 year,No
10000,Debt consolidation,0.1882,< 1 year,No
15000,Debt consolidation,0.0697,< 1 year,No
4000,Medical expenses,0.0172,< 1 year,No
10000,Credit card refinancing,0.3199,< 1 year,No
5000,Debt consolidation,0.1957,< 1 year,No
8000,Medical expenses,0.2243,< 1 year,No
9000,Debt consolidation,0.1171,< 1 year,No
7500,Credit card refinancing,0.4233,< 1 year,No
5000,Debt consolidation,0.2643,< 1 year,No
2000,Other,0.1192,< 1 year,No
35000,Home buying,0.0803,< 1 year,No
3000,Debt consolidation,0.0344,< 1 year,No
15000,Debt consolidation,0.6632,< 1 year,No
25000,Home improvement,0.1688,< 1 year,No
25000,Debt consolidation,0.231,< 1 year,No
15000,Debt consolidation,0.3103,< 1 year,No
10000,Debt consolidation,0.1515,< 1 year,No
14000,Other,0.2945,< 1 year,No
1000,Debt consolidation,0.1099,< 1 year,No
20000,Other,1,< 1 year,No
1250,Debt consolidation,0.2462,< 1 year,No
6500,Debt consolidation,0.2622,< 1 year,No
6000,Credit card refinancing,0.2554,< 1 year,No
33000,Major purchase,0.2099,< 1 year,No
25000,Credit card refinancing,0.3752,< 1 year,No
1000,Medical expenses,0.2171,< 1 year,No
25000,Business,0.1316,< 1 year,No
10000,Debt consolidation,0.4029,< 1 year,No
5000,Debt consolidation,0.2075,< 1 year,No
5000,Other,0.286,< 1 year,No
30000,Debt consolidation,0.5221,< 1 year,No
35000,Home buying,0.3038,< 1 year,No
